(A1) CITY,(A2) PROVINCE,(B3) GENDER,(B4) AGE,(B5) RELIGION,(B6) ETHNIC,(B7) EDUCATION LEVEL,(B8) LIVED IN URBAN AREA (YEARS),(B9) OCCUPATION,(B10) SOCIAL CLAS,(B11) HOUSEHOLD MEMBER,(C12) HOUSEHOLD INCOME (MONTHLY IN MILLION IDR),(C13) TIME OF INCOME RECEIPT,(C14) HOUSEHOLD EXPENDITURE (MONTHLY IN MILLION IDR),(C15) % MONTHLY EXPENDITURE FOR FOOD,(D16) HEALTH FACTOR,(D17) PRICE FACTOR),(E18) RELIGIOUS VALUE IN TYPE OF FOOD,(E19) RELIGIOUS VALUE IN EATING PLACES,(E20) RELIGIOUS VALUE IN CONSUMPTION PATTERN,(E21) CUSTOM VALUE IN TYPE OF FOOD,(E22) CUSTOM VALUE IN EATING PLACES,(E23) CUSTOM VALUE IN CONSUMPTION PATTERN,(24) PRACTICE OF FOOD CONSUMPTION BASED ON RELIGIOUS RULES,(25) PRACTICE OF FOOD CONSUMPTION BASED ON CUSTOM RULES,(E26) BUYING FOOD PRODUCT IN THE RIGHT PLACE BASED ON RELIGIOUS RULES,(E27 TYPE OF DISHES VARIATION BASED ON RELIGIOUS RULES,(E28) PRACTICE OF CONSUMING TRADITIONAL FOOD,age,urban_years,education_score,social_class_score,household_member,income_million_idr,income_receipt_score,expenditure_million_idr,food_expenditure_pct,income_per_capita,expenditure_per_capita,food_spending_million_idr,non_food_spending_million_idr,saving_gap_million_idr,urban_life_ratio,PC1,PC2,cluster
Denpasar,Bali,Female,58,Hindu,Bali,Master and doctoral degree,27,Government Employees,Middle Class,6,06:02:00,Weekly,06:04:00,43,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,58,27,6,2,6,6.2,2,6.4,43,1.0333333333333334,1.0666666666666667,2.752,3.6480000000000006,-0.20000000000000018,0.46551724137931033,-0.04200548854585011,0.10945581361658044,1
Denpasar,Bali,Female,24,Hindu,Bali,Senior High School,24,Government Employees,Middle Class,5,06:04:00,Weekly,06:06:00,38,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,24,24,3,2,5,6.4,2,6.6,38,1.28,1.3199999999999998,2.508,4.092,-0.1999999999999993,1.0,0.1579663299129505,0.04940649284516369,1
Denpasar,Bali,Female,42,Hindu,Bali,Bachelor degree,22,Police Officer‎/Army,Lower Class,6,03:07:00,Daily,03:09:00,61,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,42,22,5,1,6,3.7,1,3.9,61,0.6166666666666667,0.65,2.379,1.521,-0.19999999999999973,0.5238095238095238,-1.8696043470285402,-0.3862446306611324,2
Denpasar,Bali,Female,55,Catholic,Java,Master and doctoral degree,33,Police Officer‎/Army,Middle Class,5,05:09:00,Weekly,06:01:00,58,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,55,33,6,2,5,5.9,2,6.1,58,1.1800000000000002,1.22,3.5379999999999994,2.5620000000000003,-0.1999999999999993,0.6,-0.5565004849989905,0.22919793547688536,1
Denpasar,Bali,Female,54,Hindu,Bali,Master and doctoral degree,32,Private Employees,Middle Class,5,06:07:00,Weekly,06:09:00,34,Neither agree nor disagree,Neither agree nor disagree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,54,32,6,2,5,6.7,2,6.9,34,1.34,1.3800000000000001,2.346,4.554,-0.20000000000000018,0.5925925925925926,0.3578066655108466,-0.02682235598381104,1
Denpasar,Bali,Male,28,Islam,Java,Bachelor degree,28,Private Employees,Upper Class,6,10:09:00,Monthly,11:01:00,26,Strongly Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,28,28,5,3,6,10.9,3,11.1,26,1.8166666666666667,1.8499999999999999,2.8859999999999997,8.214,-0.1999999999999993,1.0,2.383405099538767,0.16613584665911676,3
Denpasar,Bali,Male,34,Protestant,Bali,Senior High School,34,Government Employees,Lower Class,6,03:09:00,Daily,04:01:00,57,Neither agree nor disagree,Neither agree nor disagree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,34,34,3,1,6,3.9,1,4.1,57,0.65,0.6833333333333332,2.3369999999999997,1.763,-0.19999999999999973,1.0,-1.6982374977383978,-0.44233819933879176,2
Denpasar,Bali,Female,32,Protestant,Java,Bachelor degree,32,Police Officer‎/Army,Upper Class,7,09:08:00,Monthly,10:00:00,24,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Neither agree nor disagree,Agree,Agree,Agree,Disagree,Neither agree nor disagree,Disagree,Disagree,32,32,5,3,7,9.8,3,10.0,24,1.4000000000000001,1.4285714285714286,2.4,7.6,-0.1999999999999993,1.0,2.127406688490791,0.37971242413606904,3
Denpasar,Bali,Female,45,Hindu,Bali,Bachelor degree,25,Private Employees,Upper Class,5,09:06:00,Monthly,09:08:00,27,Strongly Agree,Neither agree nor disagree,Strongly Agree,Agree,Strongly Agree,Disagree,Agree,Agree,Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,45,25,5,3,5,9.6,3,9.8,27,1.92,1.9600000000000002,2.6460000000000004,7.154,-0.20000000000000107,0.5555555555555556,1.9846448083693076,0.4318502407199713,3
Denpasar,Bali,Male,49,Catholic,Java,Diploma,29,Private Employees,Lower Class,6,03:06:00,Daily,03:08:00,67,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Neither agree nor disagree,Neither agree nor disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neither agree nor disagree,Strongly Agree,Strongly Agree,49,29,4,1,6,3.6,1,3.8,67,0.6,0.6333333333333333,2.546,1.254,-0.19999999999999973,0.5918367346938775,-2.0697076483482455,-0.34237483794727347,2
